Code;Bezeichnung;Preis
3018;Aufstellung Grundeinheit bei Implantatversorgung;42,21
3020;Aufstellen Wachs o. Kunststoff je Zahn;2,38
3028;Aufstellung Wachs o. Kunst. je Zahn bei Implantatversorgung;2,33
3030;Aufstellen Metall je Zahn;3,13
3410;Übertragung je Zahn;1,83
3610;Fertigstellung Grundeinheit;65,39
3618;Fertigstellung Grundeinheit bei Implantatversorgung;63,53
3620;Fertigstellen je Zahn;4,10
3628;Fertigstellen je Zahn bei Implantatversorgung;4,01
3800;Einfache gebogene Halte-/Stützvorrichtg.;12,57
3805;Gebogene Auflage;12,30
3810;Sonst gebog. Halte-u./o. Stützvorrichtg.;21,22
3821;Weichkunststoff;66,80
3822;Sonderkunststoff;66,80
3830;Zahn zahnfarben hergestellt;28,22
3840;Zahn zahnfarben hinterlegt;14,81
4010;Aufbissbehelf m. adj. Oberfläche;92,44
4020;Aufbissbehelf o. adj. Oberfläche;66,19
4030;Umarbeiten zum Aufbissbehelf;56,13
4040;Semipermanente Schiene aus Metall, je Zahn;35,67
5010;Basen UKPS;318,97
5020;Vestibuläre Protrusionsgleitflächen UKPS;23,90
5100;Befestigungselement Protrusionselement UKPS;18,34
5110;Montage Protrusionselement UKPS;18,34
5200;Befestigungselement Mundöffnungsbegrenzung UKPS;12,19
5210;Einfaches gebogenes Halteelement UKPS;12,19
7010;Basis für Einzelkiefergerät;60,44
7020;Basis bimaxilläres Gerät;105,48
7030;Schiefe Ebene;46,31
7040;Vorhofplatte;52,07
7050;Kinnkappe;57,00
7100;Aufbiss;11,06
7110;Abschirmelement;22,41
7121;Weichkunststoff (KFO);25,65
7122;Sonderkunststoff KFO;25,65
7200;Schraube einarbeiten;18,34
7210;Spezialschraube einarbeiten;27,77
7220;Trennen einer Basis;8,08
7300;Labialbogen;21,96
7310;Labialbogen modifiziert;30,57
7320;Labialbogen intermaxillär;33,70
7330;Feder, offen;11,26
7340;Feder, geschlossen;15,28
7400;Verbindungselement/intramaxillär;24,52
7410;Verbindungselemente/intermaxillär;29,63
7420;Verankerungselement;25,06
7430;Einzelelement einarbeiten;13,86
7440;Metallverbindung (KFO);10,43
7500;Einarmiges H-/A-Element;8,23
7510;Mehrarmiges H-/A-Element;12,34
8010;Grundeinheit Instands. ZE;28,55
8018;Grundeinheit Instands. ZE/implantatgest.;27,73
8021;LE Sprung;10,57
8022;LE Bruch;10,57
8023;LE Einarbeiten Zahn;10,57
8024;LE Basisteil Kunststoff;10,57
8025;LE Halte- u./o. Stützvorrichtg. einarbeiten;10,57
8026;LE Rückenschutzplatte einarbeiten;10,57
8027;LE Kunststoffsattel;10,57
8030;Retention, gebogen;46,00
8040;Retention, gegossen;58,10
8060;Gegossenes Basisteil;88,01
8070;Metallverbindung b. Instands/Erweiterg.;23,04
8080;Teilunterfütterung einer Basis;44,15
8085;Teilunterfütterung Basis UKPS;43,84
8088;Teilunterfütterung/implantatgestützt;43,83
8090;Vollständige Unterfütterung;72,17
8098;Vollst. Unterfütterung / implantatgest.;70,10
8100;Prothesenbasis erneuern;86,41
8108;Prothesenbasis erneuern/Implantatv.;85,78
8130;Auswechseln Konfektionsteil;15,15
8200;Instandsetzg. Krone/Flügel/Brückenglied;44,42
8208;Instandsetzg. Krone/implantatgestützt;44,09
8500;Grundeinheit Instandsetzung / Erweiterung UKPS;62,51
8511;Erneuerung Basis UKPS;159,50
8512;LE Sprung/Bruch UKPS;10,26
8513;LE Basisteil Kunststoff UKPS;10,26
8514;LE Halte und/oder Stutzvorrichtung einarbeiten UKPS;10,26
8610;Grundeinheit/Instand. KFO o. Aufbissbeh.;18,44
8620;LE Einfügen Regulierung.-o. Halteelement;7,88
8630;Erneuerg. eines Elementes/intermaxilär;15,32
8640;KFO-Basis erneuern;73,40
8700;Remontieren KFO-Gerät;35,89
9330;Versandkosten;7,17
9335;Versandkosten UKPS;7,17
9338;Versandkosten bei Implantatversorgung;7,17
9700;Verarbeitungsaufwand NEM-Legierung;17,22
