Code;Bezeichnung;Preis
1343;Konfektions-Anker;137,16
1347;Konf.Anker Primär- o.Sek.-Teil;91,23
1349;Wiederbef.Sek.Teil;91,23
1360;Gefrästes Lager;65,91
1370;Schubverteilungsarm;49,50
1500;Metallverbindung nach Brand;36,86
1550;Konditionierung je Zahn/Flügel;17,53
1600;Vestibuläre Verblendung Kunststoff;60,20
1610;Zahnfleisch Kunststoff;19,17
1620;Vestibuläre Verblendung Keramik;120,75
1628;Vestibuläre Verblendung Keramik bei Implantatversorgung;120,75
1630;Zahnfleisch Keramik;44,19
1638;Zahnfleisch Keramik bei Implantatversorgung;44,19
1640;Vestibuläre Verblendung Komposite;94,06
1650;Zahnfleisch aus Komposite;25,49
2010;Metallbasis;179,70
2021;Einarmige gegossene Haltevorrichtung;15,37
2025;Kralle;15,37
2026;Ney-Stiel;15,37
2027;Auflage;15,37
2028;Umgehungsbügel bei Diastema;15,37
2031;Zweiarmige gegossene Haltevorrichtung;28,16
2041;Zweiarm. geg. Halte-u.Stützvorricht./Aufl.;38,05
2050;Bonwillklammer;69,45
2081;Rückenschutzplatte;50,27
2082;Metallzahn gegossen;50,27
2083;Metallkaufläche gegossen;50,27
2100;Lösungshilfe;14,56
2110;Unterfütterbarer Abschlußrand;23,18
2120;Zuschlag einzelne gegossene Klammer;24,16
3010;Aufstellung Grundeinheit;43,34
3018;Aufstellung Grundeinheit bei Implantatversorgung;43,34
3020;Aufstellen Wachs o. Kunststoff je Zahn;2,37
3028;Aufstellung Wachs o. Kunst. je Zahn bei Implantatversorgung;2,37
3030;Aufstellen Metall je Zahn;3,12
3410;Übertragung je Zahn;1,85
3610;Fertigstellung Grundeinheit;65,27
3618;Fertigstellung Grundeinheit bei Implantatversorgung;65,27
3620;Fertigstellen je Zahn;4,10
3628;Fertigstellen je Zahn bei Implantatversorgung;4,10
3800;Einfache gebogene Halte-/Stützvorrichtg.;12,53
3805;Gebogene Auflage;12,53
3810;Sonst gebog. Halte-u./o. Stützvorrichtg.;21,19
3821;Weichkunststoff;68,65
3822;Sonderkunststoff;68,65
3830;Zahn zahnfarben hergestellt;28,76
3840;Zahn zahnfarben hinterlegt;15,08
4010;Aufbissbehelf m. adj. Oberfläche;115,71
4020;Aufbissbehelf o. adj. Oberfläche;82,70
4030;Umarbeiten zum Aufbissbehelf;60,18
4040;Semipermanente Schiene aus Metall, je Zahn;40,27
5010;Basen UKPS;324,07
5020;Vestibuläre Protrusionsgleitflächen UKPS;24,80
5100;Befestigungselement Protrusionselement UKPS;23,27
5110;Montage Protrusionselement UKPS;23,27
5200;Befestigungselement Mundöffnungsbegrenzung UKPS;12,52
5210;Einfaches gebogenes Halteelement UKPS;12,52
7010;Basis für Einzelkiefergerät;76,49
7020;Basis bimaxilläres Gerät;133,64
7030;Schiefe Ebene;60,36
7040;Vorhofplatte;76,55
7050;Kinnkappe;56,72
7100;Aufbiss;14,01
7110;Abschirmelement;24,80
7121;Weichkunststoff (KFO);32,86
7122;Sonderkunststoff KFO;32,86
7200;Schraube einarbeiten;23,27
7210;Spezialschraube einarbeiten;34,53
7220;Trennen einer Basis;8,46
7300;Labialbogen;29,73
7310;Labialbogen modifiziert;37,71
7320;Labialbogen intermaxillär;43,11
7330;Feder, offen;12,96
7340;Feder, geschlossen;16,17
7400;Verbindungselement/intramaxillär;34,53
7410;Verbindungselemente/intermaxillär;32,74
7420;Verankerungselement;29,60
7430;Einzelelement einarbeiten;16,21
7440;Metallverbindung (KFO);9,08
7500;Einarmiges H-/A-Element;11,88
7510;Mehrarmiges H-/A-Element;14,76
8010;Grundeinheit Instands. ZE;28,55
8018;Grundeinheit Instands. ZE/implantatgest.;28,55
8021;LE Sprung;10,55
8022;LE Bruch;10,55
8023;LE Einarbeiten Zahn;10,55
8024;LE Basisteil Kunststoff;10,55
8025;LE Halte- u./o. Stützvorrichtg. einarbeiten;10,55
8026;LE Rückenschutzplatte einarbeiten;10,55
8027;LE Kunststoffsattel;10,55
8030;Retention, gebogen;45,99
8040;Retention, gegossen;58,10
8060;Gegossenes Basisteil;87,90
8070;Metallverbindung b. Instands/Erweiterg.;23,04
8080;Teilunterfütterung einer Basis;45,00
8085;Teilunterfütterung Basis UKPS;45,00
8088;Teilunterfütterung/implantatgestützt;45,00
8090;Vollständige Unterfütterung;72,03
8098;Vollst. Unterfütterung / implantatgest.;72,03
8100;Prothesenbasis erneuern;88,11
8108;Prothesenbasis erneuern/Implantatv.;88,11
8130;Auswechseln Konfektionsteil;15,42
8200;Instandsetzg. Krone/Flügel/Brückenglied;45,33
8208;Instandsetzg. Krone/implantatgestützt;45,33
8500;Grundeinheit Instandsetzung / Erweiterung UKPS;63,74
8511;Erneuerung Basis UKPS;162,04
8512;LE Sprung/Bruch UKPS;10,55
8513;LE Basisteil Kunststoff UKPS;10,55
8514;LE Halte und/oder Stutzvorrichtung einarbeiten UKPS;10,55
8610;Grundeinheit/Instand. KFO o. Aufbissbeh.;21,47
8620;LE Einfügen Regulierung.-o. Halteelement;9,28
8630;Erneuerg. eines Elementes/intermaxilär;16,40
8640;KFO-Basis erneuern;83,05
8700;Remontieren KFO-Gerät;42,65
9330;Versandkosten;7,17
9335;Versandkosten UKPS;7,17
9338;Versandkosten bei Implantatversorgung;7,17
9700;Verarbeitungsaufwand NEM-Legierung;17,22
