Code;Bezeichnung;Preis
1650;Zahnfleisch aus Komposite;25,07
2010;Metallbasis;180,04
2021;Einarmige gegossene Haltevorrichtung;14,88
2025;Kralle;15,13
2026;Ney-Stiel;14,85
2027;Auflage;15,04
2028;Umgehungsbügel bei Diastema;15,13
2031;Zweiarmige gegossene Haltevorrichtung;26,99
2041;Zweiarm. geg. Halte-u.Stützvorricht./Aufl.;38,13
2050;Bonwillklammer;68,25
2081;Rückenschutzplatte;49,42
2082;Metallzahn gegossen;49,42
2083;Metallkaufläche gegossen;49,42
2100;Lösungshilfe;14,29
2110;Unterfütterbarer Abschlußrand;22,81
2120;Zuschlag einzelne gegossene Klammer;23,53
3010;Aufstellung Grundeinheit;43,44
3018;Aufstellung Grundeinheit bei Implantatversorgung;42,08
3020;Aufstellen Wachs o. Kunststoff je Zahn;2,37
3028;Aufstellung Wachs o. Kunst. je Zahn bei Implantatversorgung;2,31
3030;Aufstellen Metall je Zahn;3,13
3410;Übertragung je Zahn;1,87
3610;Fertigstellung Grundeinheit;65,39
3618;Fertigstellung Grundeinheit bei Implantatversorgung;63,78
3620;Fertigstellen je Zahn;4,10
3628;Fertigstellen je Zahn bei Implantatversorgung;4,02
3800;Einfache gebogene Halte-/Stützvorrichtg.;12,27
3805;Gebogene Auflage;12,34
3810;Sonst gebog. Halte-u./o. Stützvorrichtg.;21,22
3821;Weichkunststoff;67,46
3822;Sonderkunststoff;67,46
3830;Zahn zahnfarben hergestellt;28,28
3840;Zahn zahnfarben hinterlegt;15,13
4010;Aufbissbehelf m. adj. Oberfläche;82,35
4020;Aufbissbehelf o. adj. Oberfläche;68,21
4030;Umarbeiten zum Aufbissbehelf;50,88
4040;Semipermanente Schiene aus Metall, je Zahn;37,21
5010;Basen UKPS;322,79
5020;Vestibuläre Protrusionsgleitflächen UKPS;21,01
5100;Befestigungselement Protrusionselement UKPS;18,50
5110;Montage Protrusionselement UKPS;18,50
5200;Befestigungselement Mundöffnungsbegrenzung UKPS;11,98
5210;Einfaches gebogenes Halteelement UKPS;11,98
7010;Basis für Einzelkiefergerät;61,03
7020;Basis bimaxilläres Gerät;106,57
7030;Schiefe Ebene;24,48
7040;Vorhofplatte;59,07
7050;Kinnkappe;59,37
7100;Aufbiss;11,44
7110;Abschirmelement;21,01
7121;Weichkunststoff (KFO);24,76
7122;Sonderkunststoff KFO;67,56
7200;Schraube einarbeiten;18,50
7210;Spezialschraube einarbeiten;30,92
7220;Trennen einer Basis;7,61
7300;Labialbogen;22,22
7310;Labialbogen modifiziert;30,92
7320;Labialbogen intermaxillär;30,92
7330;Feder, offen;9,62
7340;Feder, geschlossen;14,86
7400;Verbindungselement/intramaxillär;25,25
7410;Verbindungselemente/intermaxillär;30,92
7420;Verankerungselement;25,25
7430;Einzelelement einarbeiten;10,97
7440;Metallverbindung (KFO);10,53
7500;Einarmiges H-/A-Element;9,91
7510;Mehrarmiges H-/A-Element;12,51
8010;Grundeinheit Instands. ZE;28,54
8018;Grundeinheit Instands. ZE/implantatgest.;28,54
8021;LE Sprung;10,57
8022;LE Bruch;10,57
8023;LE Einarbeiten Zahn;10,57
8024;LE Basisteil Kunststoff;10,57
8025;LE Halte- u./o. Stützvorrichtg. einarbeiten;10,57
8026;LE Rückenschutzplatte einarbeiten;10,08
8027;LE Kunststoffsattel;10,57
8030;Retention, gebogen;45,69
8040;Retention, gegossen;57,73
8060;Gegossenes Basisteil;87,48
8070;Metallverbindung b. Instands/Erweiterg.;23,04
8080;Teilunterfütterung einer Basis;44,85
8085;Teilunterfütterung Basis UKPS;44,85
8088;Teilunterfütterung/implantatgestützt;44,85
8090;Vollständige Unterfütterung;72,17
8098;Vollst. Unterfütterung / implantatgest.;72,17
8100;Prothesenbasis erneuern;84,55
8108;Prothesenbasis erneuern/Implantatv.;84,55
8130;Auswechseln Konfektionsteil;14,96
8200;Instandsetzg. Krone/Flügel/Brückenglied;44,54
8208;Instandsetzg. Krone/implantatgestützt;44,54
8500;Grundeinheit Instandsetzung / Erweiterung UKPS;63,72
8511;Erneuerung Basis UKPS;161,39
8512;LE Sprung/Bruch UKPS;10,53
8513;LE Basisteil Kunststoff UKPS;10,53
8514;LE Halte und/oder Stutzvorrichtung einarbeiten UKPS;10,53
8610;Grundeinheit/Instand. KFO o. Aufbissbeh.;26,57
8620;LE Einfügen Regulierung.-o. Halteelement;7,96
8630;Erneuerg. eines Elementes/intermaxilär;15,47
8640;KFO-Basis erneuern;74,53
8700;Remontieren KFO-Gerät;35,89
9330;Versandkosten;7,17
9335;Versandkosten UKPS;7,17
9338;Versandkosten bei Implantatversorgung;7,17
9700;Verarbeitungsaufwand NEM-Legierung;17,22
