Code;Bezeichnung;Preis
8060;Gegossenes Basisteil;87,84
8070;Metallverbindung b. Instands/Erweiterg.;22,99
8080;Teilunterfütterung einer Basis;45,03
8085;Teilunterfütterung Basis UKPS;45,03
8088;Teilunterfütterung/implantatgestützt;45,03
8090;Vollständige Unterfütterung;72,17
8098;Vollst. Unterfütterung / implantatgest.;72,17
8100;Prothesenbasis erneuern;88,31
8108;Prothesenbasis erneuern/Implantatv.;88,31
8130;Auswechseln Konfektionsteil;15,45
8200;Instandsetzg. Krone/Flügel/Brückenglied;45,31
8208;Instandsetzg. Krone/implantatgestützt;45,31
8500;Grundeinheit Instandsetzung / Erweiterung UKPS;63,79
8511;Erneuerung Basis UKPS;162,38
8512;LE Sprung/Bruch UKPS;10,57
8513;LE Basisteil Kunststoff UKPS;10,57
8514;LE Halte und/oder Stutzvorrichtung einarbeiten UKPS;10,57
8610;Grundeinheit/Instand. KFO o. Aufbissbeh.;23,84
8620;LE Einfügen Regulierung.-o. Halteelement;9,48
8630;Erneuerg. eines Elementes/intermaxilär;16,85
8640;KFO-Basis erneuern;70,80
8700;Remontieren KFO-Gerät;44,64
9330;Versandkosten;7,17
9335;Versandkosten UKPS;7,17
9338;Versandkosten bei Implantatversorgung;7,17
9700;Verarbeitungsaufwand NEM-Legierung;17,19
